property_id,check_in_date,room_category,successful_bookings,capacity,property_name,category,city,date,mmm yy,week no,day_type,occupancy_rate,adr,actual_revenue,potential_revenue,revenue_leakage,revpar_method1,revpar_method2
16559,2022-05-01,RT1,25,30,Atliq Exotica,Luxury,Mumbai,2022-05-01,May 22,W 19,weekend,83.33333333333334,6000.0,150000.0,180000.0,30000.0,5000.000000000001,5000.0
19562,2022-05-01,RT1,28,30,Atliq Bay,Luxury,Bangalore,2022-05-01,May 22,W 19,weekend,93.33333333333333,5040.0,141120.0,151200.0,10080.0,4703.999999999999,4704.0
19563,2022-05-01,RT1,23,30,Atliq Palace,Business,Bangalore,2022-05-01,May 22,W 19,weekend,76.66666666666667,3150.0,72450.0,94500.0,22050.0,2415.0,2415.0
17558,2022-05-01,RT1,13,19,Atliq Grands,Luxury,Mumbai,2022-05-01,May 22,W 19,weekend,68.42105263157895,6000.0,78000.0,114000.0,36000.0,4105.263157894737,4105.263157894737
16558,2022-05-01,RT1,18,19,Atliq Grands,Luxury,Delhi,2022-05-01,May 22,W 19,weekend,94.73684210526315,5520.0,99360.0,104880.0,5520.0,5229.473684210526,5229.473684210527
17560,2022-05-01,RT1,28,40,Atliq City,Business,Mumbai,2022-05-01,May 22,W 19,weekend,70.0,3750.0,105000.0,150000.0,45000.0,2625.0,2625.0
19558,2022-05-01,RT1,25,40,Atliq Grands,Luxury,Bangalore,2022-05-01,May 22,W 19,weekend,62.5,5040.0,126000.0,201600.0,75600.0,3150.0,3150.0
19560,2022-05-01,RT1,23,26,Atliq City,Business,Bangalore,2022-05-01,May 22,W 19,weekend,88.46153846153845,3150.0,72450.0,81900.0,9450.0,2786.5384615384614,2786.5384615384614
17561,2022-05-01,RT1,22,26,Atliq Blu,Luxury,Mumbai,2022-05-01,May 22,W 19,weekend,84.61538461538461,6000.0,132000.0,156000.0,24000.0,5076.923076923077,5076.923076923077
16560,2022-05-01,RT1,24,34,Atliq City,Business,Delhi,2022-05-01,May 22,W 19,weekend,70.58823529411765,3450.0,82800.0,117300.0,34500.0,2435.294117647059,2435.294117647059
16561,2022-05-01,RT1,16,18,Atliq Blu,Luxury,Delhi,2022-05-01,May 22,W 19,weekend,88.88888888888889,5520.0,88320.0,99360.0,11040.0,4906.666666666666,4906.666666666667
16562,2022-05-01,RT1,20,31,Atliq Bay,Luxury,Delhi,2022-05-01,May 22,W 19,weekend,64.51612903225806,5520.0,110400.0,171120.0,60720.0,3561.290322580645,3561.2903225806454
16563,2022-05-01,RT1,36,41,Atliq Palace,Business,Delhi,2022-05-01,May 22,W 19,weekend,87.8048780487805,3450.0,124200.0,141450.0,17250.0,3029.268292682927,3029.268292682927
17559,2022-05-01,RT1,26,32,Atliq Exotica,Luxury,Mumbai,2022-05-01,May 22,W 19,weekend,81.25,6000.0,156000.0,192000.0,36000.0,4875.0,4875.0
17562,2022-05-01,RT1,12,20,Atliq Bay,Luxury,Mumbai,2022-05-01,May 22,W 19,weekend,60.0,6000.0,72000.0,120000.0,48000.0,3600.0,3600.0
17563,2022-05-01,RT1,21,25,Atliq Palace,Business,Mumbai,2022-05-01,May 22,W 19,weekend,84.0,3750.0,78750.0,93750.0,15000.0,3150.0,3150.0
18558,2022-05-01,RT1,11,15,Atliq Grands,Luxury,Hyderabad,2022-05-01,May 22,W 19,weekend,73.33333333333333,4800.0,52800.0,72000.0,19200.0,3519.9999999999995,3520.0
18559,2022-05-01,RT1,29,42,Atliq Exotica,Luxury,Hyderabad,2022-05-01,May 22,W 19,weekend,69.04761904761905,4800.0,139200.0,201600.0,62400.0,3314.285714285714,3314.285714285714
18561,2022-05-01,RT1,31,33,Atliq Blu,Luxury,Hyderabad,2022-05-01,May 22,W 19,weekend,93.93939393939394,4800.0,148800.0,158400.0,9600.0,4509.090909090909,4509.090909090909
18562,2022-05-01,RT1,34,38,Atliq Bay,Luxury,Hyderabad,2022-05-01,May 22,W 19,weekend,89.47368421052632,4800.0,163200.0,182400.0,19200.0,4294.736842105263,4294.736842105263
18563,2022-05-01,RT1,18,27,Atliq Palace,Business,Hyderabad,2022-05-01,May 22,W 19,weekend,66.66666666666666,3000.0,54000.0,81000.0,27000.0,1999.9999999999995,2000.0
19559,2022-05-01,RT1,18,24,Atliq Exotica,Luxury,Bangalore,2022-05-01,May 22,W 19,weekend,75.0,5040.0,90720.0,120960.0,30240.0,3780.0,3780.0
19561,2022-05-01,RT1,25,36,Atliq Blu,Luxury,Bangalore,2022-05-01,May 22,W 19,weekend,69.44444444444444,5040.0,126000.0,181440.0,55440.0,3500.0,3500.0
17564,2022-05-01,RT1,9,16,Atliq Seasons,Business,Mumbai,2022-05-01,May 22,W 19,weekend,56.25,3750.0,33750.0,60000.0,26250.0,2109.375,2109.375
19562,2022-05-01,RT2,23,23,Atliq Bay,Luxury,Bangalore,2022-05-01,May 22,W 19,weekend,100.0,6930.0,159390.0,159390.0,0.0,6930.0,6930.0
18563,2022-05-01,RT2,21,29,Atliq Palace,Business,Hyderabad,2022-05-01,May 22,W 19,weekend,72.41379310344827,3840.0,80640.0,111360.0,30720.0,2780.6896551724135,2780.689655172414
17561,2022-05-01,RT2,32,36,Atliq Blu,Luxury,Mumbai,2022-05-01,May 22,W 19,weekend,88.88888888888889,8250.0,264000.0,297000.0,33000.0,7333.333333333333,7333.333333333333
